id,uid,date,attendance,time_valid,neutral_site,conference_competition,recent,start_date,notes_type,notes_headline,type_id,type_abbreviation,venue_id,venue_full_name,venue_address_city,venue_address_state,venue_capacity,venue_indoor,status_clock,status_display_clock,status_period,status_type_id,status_type_name,status_type_state,status_type_completed,status_type_description,status_type_detail,status_type_short_detail,format_regulation_periods,home_id,home_uid,home_location,home_name,home_abbreviation,home_display_name,home_short_display_name,home_color,home_alternate_color,home_is_active,home_venue_id,home_logo,home_conference_id,home_score,home_winner,away_id,away_uid,away_location,away_name,away_abbreviation,away_display_name,away_short_display_name,away_color,away_alternate_color,away_is_active,away_venue_id,away_logo,away_conference_id,away_score,away_winner,game_id,season,season_type,status_type_alt_detail,groups_id,groups_name,groups_short_name,groups_is_conference,tournament_id,PBP,team_box,player_box
401487612,s:40~l:41~e:401487612~c:401487612,2022-11-08T00:00Z,13407,TRUE,FALSE,FALSE,FALSE,2022-11-08T00:00Z,"","",0,N/A,2039,UD Arena,Dayton,OH,13409,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,2168,s:40~l:41~t:2168,Dayton,Flyers,DAY,Dayton Flyers,Dayton,004B8D,ffffff,TRUE,2039,https://a.espncdn.com/i/teamlogos/ncaa/500/2168.png,3,73,TRUE,2815,s:40~l:41~t:2815,Lindenwood,Lions,LIN,Lindenwood Lions,Lindenwood,000000,,TRUE,,https://a.espncdn.com/i/teamlogos/ncaa/500/2815.png,20,46,FALSE,401487612,2023,2,,,,,,,TRUE,TRUE,TRUE
401500557,s:40~l:41~e:401500557~c:401500557,2022-11-08T00:00Z,739,TRUE,FALSE,FALSE,FALSE,2022-11-08T00:00Z,"","",0,N/A,5995,Flowers Hall,Florence,AL,3500,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,2453,s:40~l:41~t:2453,North Alabama,Lions,UNA,North Alabama Lions,North Alabama,663399,,TRUE,5995,https://a.espncdn.com/i/teamlogos/ncaa/500/2453.png,46,108,TRUE,3083,s:40~l:41~t:3083,Oakwood,Ambassadors,OKW,Oakwood Ambassadors,Oakwood,000000,,FALSE,,,,51,FALSE,401500557,2023,2,,,,,,,TRUE,TRUE,TRUE
401500556,s:40~l:41~e:401500556~c:401500556,2022-11-08T00:00Z,1285,TRUE,FALSE,FALSE,FALSE,2022-11-08T00:00Z,"","",0,N/A,2015,KSU Convocation Center,Kennesaw,GA,4600,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,338,s:40~l:41~t:338,Kennesaw State,Owls,KENN,Kennesaw State Owls,Kennesaw St,000000,fdbb30,TRUE,2015,https://a.espncdn.com/i/teamlogos/ncaa/500/338.png,46,99,TRUE,548,s:40~l:41~t:548,LaGrange College,Panthers,LG,LaGrange College Panthers,LaGrange,000000,,FALSE,,,,56,FALSE,401500556,2023,2,,,,,,,TRUE,TRUE,TRUE
401500363,s:40~l:41~e:401500363~c:401500363,2022-11-08T00:00Z,114,TRUE,FALSE,FALSE,FALSE,2022-11-08T00:00Z,"","",0,N/A,4941,Pope Physical Education Center,Brooklyn,NY,1200,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,2597,s:40~l:41~t:2597,St. Francis Brooklyn,Terriers,SFNY,St. Francis Brooklyn Terriers,St Francis BK,113682,,TRUE,4941,https://a.espncdn.com/i/teamlogos/ncaa/500/2597.png,19,96,TRUE,289,s:40~l:41~t:289,Mount St. Mary,Mountaineers,MSM,Mount St. Mary Mountaineers,Mt St Mary NY,,,FALSE,,,,56,FALSE,401500363,2023,2,,,,,,,TRUE,TRUE,TRUE
401497670,s:40~l:41~e:401497670~c:401497670,2022-11-08T00:00Z,1223,TRUE,FALSE,FALSE,FALSE,2022-11-08T00:00Z,"","",0,N/A,4308,The HTC Center,Conway,SC,3212,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,324,s:40~l:41~t:324,Coastal Carolina,Chanticleers,CCU,Coastal Carolina Chanticleers,Coast Car,007073,876447,TRUE,4308,https://a.espncdn.com/i/teamlogos/ncaa/500/324.png,27,97,TRUE,117,s:40~l:41~t:117,St. Mary's (MD),Seahawks,SMMD,St. Mary's (MD) Seahawks,St. Mary's MD,,,FALSE,,https://a.espncdn.com/i/teamlogos/ncaa/500/117.png,,43,FALSE,401497670,2023,2,,,,,,,TRUE,TRUE,TRUE
401497514,s:40~l:41~e:401497514~c:401497514,2022-11-08T00:00Z,520,TRUE,FALSE,FALSE,FALSE,2022-11-08T00:00Z,"","",0,N/A,2046,Ross E. Templeton P.E. Center,Clinton,SC,2300,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,2506,s:40~l:41~t:2506,Presbyterian,Blue Hose,PRES,Presbyterian Blue Hose,Presbyterian,194896,990134,TRUE,2046,https://a.espncdn.com/i/teamlogos/ncaa/500/2506.png,6,76,TRUE,108942,s:40~l:41~t:108942,Carolina University,Bruins,CARU,Carolina University Bruins,Carolina Univ.,,,FALSE,,,,42,FALSE,401497514,2023,2,,,,,,,TRUE,TRUE,TRUE
401493949,s:40~l:41~e:401493949~c:401493949,2022-11-08T00:00Z,2879,TRUE,FALSE,FALSE,FALSE,2022-11-08T00:00Z,"","",0,N/A,4489,Trojan Arena,Troy,AL,5200,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,2653,s:40~l:41~t:2653,Troy,Trojans,TROY,Troy Trojans,Troy,AE0210,88898c,TRUE,4489,https://a.espncdn.com/i/teamlogos/ncaa/500/2653.png,27,87,TRUE,2409,s:40~l:41~t:2409,Montevallo,Falcons,MON,Montevallo Falcons,Monteval,,,FALSE,,,,67,FALSE,401493949,2023,2,,,,,,,TRUE,TRUE,TRUE
401493749,s:40~l:41~e:401493749~c:401493749,2022-11-08T00:00Z,4038,TRUE,FALSE,FALSE,FALSE,2022-11-08T00:00Z,"","",0,N/A,2116,Savage Arena,Toledo,OH,7014,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,2649,s:40~l:41~t:2649,Toledo,Rockets,TOL,Toledo Rockets,Toledo,ffffff,ffd51d,TRUE,2116,https://a.espncdn.com/i/teamlogos/ncaa/500/2649.png,14,85,TRUE,2674,s:40~l:41~t:2674,Valparaiso,Beacons,VAL,Valparaiso Beacons,Valparaiso,794500,,TRUE,2159,https://a.espncdn.com/i/teamlogos/ncaa/500/2674.png,18,70,FALSE,401493749,2023,2,,,,,,,TRUE,TRUE,TRUE
401493705,s:40~l:41~e:401493705~c:401493705,2022-11-08T00:00Z,3445,TRUE,FALSE,FALSE,FALSE,2022-11-08T00:00Z,"","",0,N/A,299,Worthen Arena,Muncie,IN,11500,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,2050,s:40~l:41~t:2050,Ball State,Cardinals,BALL,Ball State Cardinals,Ball State,DA0000,ffffff,TRUE,299,https://a.espncdn.com/i/teamlogos/ncaa/500/2050.png,14,109,TRUE,2189,s:40~l:41~t:2189,Earlham,Quakers,EARL,Earlham Quakers,Earlham,000000,,FALSE,,,,39,FALSE,401493705,2023,2,,,,,,,TRUE,TRUE,TRUE
401493699,s:40~l:41~e:401493699~c:401493699,2022-11-08T00:00Z,2157,TRUE,FALSE,FALSE,FALSE,2022-11-08T00:00Z,"","",0,N/A,2203,James A. Rhodes Arena,Akron,OH,5500,TRUE,0,0:00,3,3,STATUS_FINAL,post,TRUE,Final,Final/OT,Final/OT,2,2006,s:40~l:41~t:2006,Akron,Zips,AKR,Akron Zips,Akron,00285e,84754e,TRUE,2203,https://a.espncdn.com/i/teamlogos/ncaa/500/2006.png,14,81,TRUE,2571,s:40~l:41~t:2571,South Dakota State,Jackrabbits,SDST,South Dakota State Jackrabbits,S Dakota St,005DAB,c33139,TRUE,1996,https://a.espncdn.com/i/teamlogos/ncaa/500/2571.png,49,80,FALSE,401493699,2023,2,OT,,,,,,TRUE,TRUE,TRUE
