id,uid,date,attendance,time_valid,neutral_site,conference_competition,recent,start_date,notes_type,notes_headline,type_id,type_abbreviation,status_clock,status_display_clock,status_period,status_type_id,status_type_name,status_type_state,status_type_completed,status_type_description,status_type_detail,status_type_short_detail,format_regulation_periods,home_id,home_uid,home_location,home_name,home_abbreviation,home_display_name,home_short_display_name,home_color,home_alternate_color,home_is_active,home_score,home_winner,away_id,away_uid,away_location,away_name,away_abbreviation,away_display_name,away_short_display_name,away_color,away_alternate_color,away_is_active,away_logo,away_score,away_winner,game_id,season,season_type,home_logo,venue_id,venue_full_name,venue_address_city,venue_address_state,venue_capacity,venue_indoor,status_type_alt_detail,PBP,game_date_time,game_date,team_box,player_box
230120029,s:40~l:46~e:230120029~c:230120029,2003-01-20T21:00Z,19084,TRUE,FALSE,FALSE,FALSE,2003-01-20T21:00Z,,,1,STD,14,14.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,29,s:40~l:46~t:29,Memphis,Grizzlies,MEM,Memphis Grizzlies,Grizzlies,5D76A8,7399c6,TRUE,87,FALSE,22,s:40~l:46~t:22,Portland,Trail Blazers,POR,Portland Trail Blazers,Trail Blazers,000000,bac3c9,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/por.png,99,TRUE,230120029,2003,2,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mem.png,,"","","",,,"",FALSE,2003-01-20T21:00:00Z,2003-01-20,TRUE,TRUE
230120008,s:40~l:46~e:230120008~c:230120008,2003-01-20T20:00Z,22076,TRUE,FALSE,FALSE,FALSE,2003-01-20T20:00Z,,,1,STD,22,22.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,8,s:40~l:46~t:8,Detroit,Pistons,DET,Detroit Pistons,Pistons,FA002C,006bb6,TRUE,88,TRUE,11,s:40~l:46~t:11,Indiana,Pacers,IND,Indiana Pacers,Pacers,061642,00275d,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/ind.png,78,FALSE,230120008,2003,2,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/det.png,3419,The Palace of Auburn Hills,Detroit,MI,22076,FALSE,"",FALSE,2003-01-20T20:00:00Z,2003-01-20,TRUE,TRUE
230120003,s:40~l:46~e:230120003~c:230120003,2003-01-20T19:30Z,16034,TRUE,FALSE,FALSE,FALSE,2003-01-20T19:30Z,,,1,STD,8,8.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,3,s:40~l:46~t:3,New Orleans,Hornets,NO,New Orleans Hornets,Hornets,0093B1,b4975a,FALSE,114,TRUE,21,s:40~l:46~t:21,Phoenix,Suns,PHX,Phoenix Suns,Suns,23006A,f1f2f3,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/phx.png,102,FALSE,230120003,2003,2,"",985,Smoothie King Center,New Orleans,LA,16867,TRUE,"",FALSE,2003-01-20T19:30:00Z,2003-01-20,TRUE,TRUE
230120009,s:40~l:46~e:230120009~c:230120009,2003-01-20T18:00Z,19871,TRUE,FALSE,FALSE,FALSE,2003-01-20T18:00Z,,,1,STD,18,18.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,9,s:40~l:46~t:9,Golden State,Warriors,GS,Golden State Warriors,Warriors,00275D,fdb927,TRUE,80,FALSE,23,s:40~l:46~t:23,Sacramento,Kings,SAC,Sacramento Kings,Kings,393996,8e9090,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sac.png,102,TRUE,230120009,2003,2,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/gs.png,2465,ORACLE Arena,Oakland,CA,19596,FALSE,"",FALSE,2003-01-20T18:00:00Z,2003-01-20,TRUE,TRUE
230120018,s:40~l:46~e:230120018~c:230120018,2003-01-20T18:00Z,18704,TRUE,FALSE,FALSE,FALSE,2003-01-20T18:00Z,,,1,STD,8,8.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,18,s:40~l:46~t:18,New York,Knicks,NY,New York Knicks,Knicks,225EA8,f58426,TRUE,72,TRUE,14,s:40~l:46~t:14,Miami,Heat,MIA,Miami Heat,Heat,000000,000000,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mia.png,65,FALSE,230120018,2003,2,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/ny.png,1830,Madison Square Garden,New York,NY,19763,FALSE,"",FALSE,2003-01-20T18:00:00Z,2003-01-20,TRUE,TRUE
230120027,s:40~l:46~e:230120027~c:230120027,2003-01-20T18:00Z,20173,TRUE,FALSE,FALSE,FALSE,2003-01-20T18:00Z,,,1,STD,0,0.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,27,s:40~l:46~t:27,Washington,Wizards,WSH,Washington Wizards,Wizards,0E3764,e31837,TRUE,89,TRUE,7,s:40~l:46~t:7,Denver,Nuggets,DEN,Denver Nuggets,Nuggets,0860A8,fdb927,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/den.png,74,FALSE,230120027,2003,2,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/wsh.png,1823,Capital One Arena,Washington,DC,20600,TRUE,"",TRUE,2003-01-20T18:00:00Z,2003-01-20,TRUE,TRUE
230120001,s:40~l:46~e:230120001~c:230120001,2003-01-20T17:00Z,9961,TRUE,FALSE,FALSE,FALSE,2003-01-20T17:00Z,,,1,STD,10,10.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,1,s:40~l:46~t:1,Atlanta,Hawks,ATL,Atlanta Hawks,Hawks,002B5C,000000,TRUE,102,FALSE,4,s:40~l:46~t:4,Chicago,Bulls,CHI,Chicago Bulls,Bulls,000000,000000,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/chi.png,115,TRUE,230120001,2003,2,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/atl.png,1827,State Farm Arena,Atlanta,GA,16888,TRUE,"",TRUE,2003-01-20T17:00:00Z,2003-01-20,TRUE,TRUE
230119025,s:40~l:46~e:230119025~c:230119025,2003-01-19T23:00Z,16359,TRUE,FALSE,FALSE,FALSE,2003-01-19T23:00Z,,,1,STD,3,3.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,25,s:40~l:46~t:25,Seattle,SuperSonics,SEA,Seattle SuperSonics,SuperSonics,1C3F2C,f05133,FALSE,85,TRUE,6,s:40~l:46~t:6,Dallas,Mavericks,DAL,Dallas Mavericks,Mavericks,0C479D,c4ced3,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/dal.png,81,FALSE,230119025,2003,2,"",2184,KeyArena,Seattle,WA,17459,TRUE,"",FALSE,2003-01-19T23:00:00Z,2003-01-19,TRUE,TRUE
230119028,s:40~l:46~e:230119028~c:230119028,2003-01-19T17:30Z,19800,TRUE,FALSE,FALSE,FALSE,2003-01-19T17:30Z,,,1,STD,7,7.0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,28,s:40~l:46~t:28,Toronto,Raptors,TOR,Toronto Raptors,Raptors,CE0F41,061922,TRUE,93,FALSE,19,s:40~l:46~t:19,Orlando,Magic,ORL,Orlando Magic,Magic,0860A8,c4ced3,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/orl.png,101,TRUE,230119028,2003,2,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/tor.png,1838,Scotiabank Arena,Toronto,ON,19800,FALSE,"",FALSE,2003-01-19T17:30:00Z,2003-01-19,TRUE,TRUE
230118014,s:40~l:46~e:230118014~c:230118014,2003-01-19T01:00Z,16500,TRUE,FALSE,FALSE,FALSE,2003-01-19T01:00Z,,,1,STD,0,0.0,6,3,STATUS_FINAL,post,TRUE,Final,Final/2OT,Final/2OT,4,14,s:40~l:46~t:14,Miami,Heat,MIA,Miami Heat,Heat,000000,000000,TRUE,102,TRUE,4,s:40~l:46~t:4,Chicago,Bulls,CHI,Chicago Bulls,Bulls,000000,000000,TRUE,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/chi.png,101,FALSE,230118014,2003,2,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mia.png,3438,Miami-Dade Arena,Miami,FL,19600,TRUE,2OT,FALSE,2003-01-19T01:00:00Z,2003-01-18,TRUE,TRUE
