id,uid,date,attendance,time_valid,neutral_site,conference_competition,recent,start_date,notes_type,notes_headline,type_id,type_abbreviation,venue_id,venue_full_name,venue_address_city,venue_capacity,venue_indoor,status_clock,status_display_clock,status_period,status_type_id,status_type_name,status_type_state,status_type_completed,status_type_description,status_type_detail,status_type_short_detail,format_regulation_periods,home_id,home_uid,home_location,home_name,home_abbreviation,home_display_name,home_short_display_name,home_is_active,home_score,home_winner,away_id,away_uid,away_location,away_name,away_abbreviation,away_display_name,away_short_display_name,away_color,away_alternate_color,away_is_active,away_venue_id,away_logo,away_score,away_winner,game_id,season,season_type,venue_address_state,home_color,home_alternate_color,home_venue_id,home_logo,status_type_alt_detail,PBP,team_box,player_box,game_date_time,game_date
400489860,s:40~l:46~e:400489860~c:400489860,2014-03-16T17:00Z,14536,TRUE,FALSE,FALSE,FALSE,2014-03-16T17:00Z,"","",1,STD,2099,BMO Harris Bradley Center,Milwaukee,18717,FALSE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,15,s:40~l:46~t:15,Milwaukee,Bucks,MIL,Milwaukee Bucks,Bucks,TRUE,92,FALSE,30,s:40~l:46~t:30,Charlotte,Bobcats,CHA,Charlotte Bobcats,Bobcats,FE3310,008ca8,FALSE,1893,"",101,TRUE,400489860,2014,2,WI,003813,f0ebd2,2099,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mil.png,"",TRUE,TRUE,TRUE,2014-03-16T17:00:00Z,2014-03-16
400489861,s:40~l:46~e:400489861~c:400489861,2014-03-16T17:00Z,18717,TRUE,FALSE,FALSE,FALSE,2014-03-16T17:00Z,"","",1,STD,1838,Scotiabank Arena,Toronto,19800,FALSE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,28,s:40~l:46~t:28,Toronto,Raptors,TOR,Toronto Raptors,Raptors,TRUE,113,FALSE,21,s:40~l:46~t:21,Phoenix,Suns,PHX,Phoenix Suns,Suns,23006A,f1f2f3,TRUE,1949,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/phx.png,121,TRUE,400489861,2014,2,ON,CE0F41,061922,1838,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/tor.png,"",TRUE,TRUE,TRUE,2014-03-16T17:00:00Z,2014-03-16
400489859,s:40~l:46~e:400489859~c:400489859,2014-03-16T00:00Z,22012,TRUE,FALSE,FALSE,FALSE,2014-03-16T00:00Z,"","",1,STD,1847,United Center,Chicago,20917,FALSE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,4,s:40~l:46~t:4,Chicago,Bulls,CHI,Chicago Bulls,Bulls,TRUE,94,TRUE,23,s:40~l:46~t:23,Sacramento,Kings,SAC,Sacramento Kings,Kings,393996,8e9090,TRUE,2247,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sac.png,87,FALSE,400489859,2014,2,IL,000000,000000,1847,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/chi.png,"",TRUE,TRUE,TRUE,2014-03-16T00:00:00Z,2014-03-15
400489856,s:40~l:46~e:400489856~c:400489856,2014-03-15T23:30Z,16921,TRUE,FALSE,FALSE,FALSE,2014-03-15T23:30Z,"","",1,STD,1827,State Farm Arena,Atlanta,16888,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,1,s:40~l:46~t:1,Atlanta,Hawks,ATL,Atlanta Hawks,Hawks,TRUE,97,TRUE,7,s:40~l:46~t:7,Denver,Nuggets,DEN,Denver Nuggets,Nuggets,0860A8,fdb927,TRUE,892,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/den.png,92,FALSE,400489856,2014,2,GA,002B5C,002b5c,1827,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/atl.png,"",TRUE,TRUE,TRUE,2014-03-15T23:30:00Z,2014-03-15
400489857,s:40~l:46~e:400489857~c:400489857,2014-03-15T23:30Z,17440,TRUE,FALSE,FALSE,FALSE,2014-03-15T23:30Z,"","",1,STD,3419,The Palace of Auburn Hills,Detroit,22076,FALSE,0,0,5,3,STATUS_FINAL,post,TRUE,Final,Final/OT,Final/OT,4,8,s:40~l:46~t:8,Detroit,Pistons,DET,Detroit Pistons,Pistons,TRUE,104,FALSE,11,s:40~l:46~t:11,Indiana,Pacers,IND,Indiana Pacers,Pacers,061642,00275d,TRUE,2183,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/ind.png,112,TRUE,400489857,2014,2,MI,FA002C,006bb6,3419,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/det.png,OT,TRUE,TRUE,TRUE,2014-03-15T23:30:00Z,2014-03-15
400489858,s:40~l:46~e:400489858~c:400489858,2014-03-15T23:30Z,15164,TRUE,FALSE,FALSE,FALSE,2014-03-15T23:30Z,"","",1,STD,1845,Wells Fargo Center,Philadelphia,21000,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,20,s:40~l:46~t:20,Philadelphia,76ers,PHI,Philadelphia 76ers,76ers,TRUE,77,FALSE,29,s:40~l:46~t:29,Memphis,Grizzlies,MEM,Memphis Grizzlies,Grizzlies,5D76A8,7399c6,TRUE,1392,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mem.png,103,TRUE,400489858,2014,2,PA,000000,f1f2f3,1845,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/phi.png,"",TRUE,TRUE,TRUE,2014-03-15T23:30:00Z,2014-03-15
400489855,s:40~l:46~e:400489855~c:400489855,2014-03-15T23:00Z,20356,TRUE,FALSE,FALSE,FALSE,2014-03-15T23:00Z,"","",1,STD,1823,Capital One Arena,Washington,20600,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,27,s:40~l:46~t:27,Washington,Wizards,WSH,Washington Wizards,Wizards,TRUE,101,TRUE,17,s:40~l:46~t:17,Brooklyn,Nets,BKN,Brooklyn Nets,Nets,06143F,ffffff,TRUE,1826,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/bkn.png,94,FALSE,400489855,2014,2,DC,0E3764,e31837,1823,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/wsh.png,"",TRUE,TRUE,TRUE,2014-03-15T23:00:00Z,2014-03-15
400489854,s:40~l:46~e:400489854~c:400489854,2014-03-15T16:00Z,19812,TRUE,FALSE,FALSE,FALSE,2014-03-15T16:00Z,"","",1,STD,1830,Madison Square Garden,New York,19763,FALSE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,18,s:40~l:46~t:18,New York,Knicks,NY,New York Knicks,Knicks,TRUE,115,TRUE,15,s:40~l:46~t:15,Milwaukee,Bucks,MIL,Milwaukee Bucks,Bucks,003813,f0ebd2,TRUE,2099,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mil.png,94,FALSE,400489854,2014,2,NY,225EA8,f58426,1830,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/ny.png,"",TRUE,TRUE,TRUE,2014-03-15T16:00:00Z,2014-03-15
400489853,s:40~l:46~e:400489853~c:400489853,2014-03-15T02:30Z,19596,TRUE,FALSE,FALSE,FALSE,2014-03-15T02:30Z,"","",1,STD,2465,ORACLE Arena,Oakland,19596,FALSE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,9,s:40~l:46~t:9,Golden State,Warriors,GS,Golden State Warriors,Warriors,TRUE,94,FALSE,5,s:40~l:46~t:5,Cleveland,Cavaliers,CLE,Cleveland Cavaliers,Cavaliers,061642,fdbb30,TRUE,3417,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/cle.png,103,TRUE,400489853,2014,2,CA,00275D,fdb927,2465,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/gs.png,"",TRUE,TRUE,TRUE,2014-03-15T02:30:00Z,2014-03-14
400489852,s:40~l:46~e:400489852~c:400489852,2014-03-15T01:00Z,19381,TRUE,FALSE,FALSE,FALSE,2014-03-15T01:00Z,"","",1,STD,3093,Vivint Arena,Salt Lake City,18306,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,26,s:40~l:46~t:26,Utah,Jazz,UTAH,Utah Jazz,Jazz,TRUE,87,FALSE,12,s:40~l:46~t:12,LA,Clippers,LAC,LA Clippers,Clippers,FA0028,f1f2f3,TRUE,1841,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/lac.png,96,TRUE,400489852,2014,2,UT,06143F,f9a01b,3093,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/utah.png,"",TRUE,TRUE,TRUE,2014-03-15T01:00:00Z,2014-03-14
